PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,target
7730.608437593615,-44.79946169047168,-3.7228662256252143,3.326180317149678,-0.6908339551651445,0.04999246484452454,-0.3297627675810926,-0.09643071844772585,-0.07603051371534357,-0.13875531331399446,1
-43935.39209162067,6.489135068326677,0.10221751325775773,3.259598134710538,0.26472517664920936,0.15412572113905854,0.3274624059553493,0.0026954136751406103,0.4921665940592326,0.09419335376143403,1
23757.607678667064,28.58876678941488,-0.029178269157927733,-1.7236911283447058,0.3814619566460325,0.05620029134446963,0.10106637481952005,-0.21130127196463486,-0.08333859165865433,0.018099290124607627,0
-5682.392077448886,7.5762261215935265,3.825674837888205,3.215881825716284,-0.6909419749050916,0.2658586508731733,-0.5760743347587882,-0.06707847523054776,0.013052402244226833,0.018832354137773955,0
64290.60821381582,-19.801573002353084,2.796574942758666,4.265221817863574,-0.7222692930740382,0.3463431425826662,0.4556684978272186,0.011722152210176737,-0.10725213860710811,-0.1588580728308064,1
-76149.39183797223,-17.836910118131073,-0.52445385303598,4.245801210464727,-0.7539897120687482,0.11752174338419917,0.28442370475543965,-0.14022122599480352,0.5652102977349347,0.14964113546575628,0
-8149.391708914031,-31.087507175883438,-3.8089088738076717,-1.6647244695929648,0.40651082817889167,0.17002728124051558,-0.35384871797042483,0.3258416106548329,0.009446423124461385,-0.220121304479634,0
-96482.39271283214,63.68761911204972,-0.8371643989366495,3.2196424761657316,0.22248311083248173,-0.12677189900581715,0.15054657501320495,0.27935087247145113,-0.11995321110899425,0.05138988820907681,0
-36109.39210813982,5.6852979169674285,-4.103366581998223,3.306930051077351,0.27365881859327806,0.14929139216556447,-0.06829137509730672,0.2792447343715462,-0.03651086022263765,-0.1345063158312179,1
24877.60792687873,4.761947840235608,-1.1272231502858006,-1.6989056566136094,0.3631686125552495,-0.3608915630665567,0.15862576594831115,0.1610518585549369,-0.08572374354596618,-0.06089184104196869,0
4264.607565095871,38.081545137382484,-1.899902960231803,-3.7168477709139185,0.40871513142687516,0.08650024922031452,0.2111048543951435,0.026767534211822454,0.039557434383328316,-0.1242999754137154,0
36890.60785554177,11.944703301281784,0.06316809020895268,4.287683318879988,0.25652756409191796,0.07868326670234942,0.3031686090101724,-0.06626375589405964,-0.10733673421834543,-0.15309899035138327,1
-66619.39218773964,13.971969478981645,-2.744574325166795,-3.721448774640247,0.4197458111086931,0.1498499628016677,-0.31184838820932803,0.3384956843346833,0.24410892426044978,-0.2255113092762606,0
-5722.391727175016,-11.717566366450564,26.905896630544625,-4.991771349662194,0.4480529958132868,0.19982937559506672,0.5103178621309145,0.26792973689808575,-0.014241317716160802,-0.14319592197580308,0
-20975.391829857857,-17.078004394261498,1.492099689807762,4.266269870957111,0.26194463670627344,0.19203461372156738,0.23969772646097648,-0.1016741783851979,-0.1497505292959869,0.09298770751355138,1
280224.60809783486,-11.283165203516113,-4.168143023777014,1.4162648152623483,-0.6094547224857304,0.3574178898077902,-0.0895585567594878,0.35243435850538374,0.013953703583343247,-0.27027503418674537,0
-39362.39161490036,-37.82489118198123,0.3791150007733063,1.2829209504963497,0.3367117516147611,0.13899557418415384,-0.07900432769981679,-0.11154604475800942,-0.09972173607093204,0.15236239006878,1
